w1, w2, l
0, 0, 1570.0226994497598
0.924126769299429, -6.117797525830829, 453.75792674813437
2.2560924484681957, -4.93109882793017, 203.68323750285498
1.5042896521983362, -4.510916367546806, 119.38399422940836
1.6134033338148484, -3.809329236538182, 66.76682326789054
1.0408061798706267, -3.577340166356477, 42.29345590058434
1.4229815481065287, -3.074450858412919, 40.288410319561386
0.6731978234201244, -3.2568492032814573, 52.100192243856256
1.4983339706305463, -2.7611888437528105, 74.54432037127785
0.24077306509235252, -3.431839202146926, 157.3881668961322
1.854109262948185, -2.715174512141371, 178.79061508511924
-0.14477294215683, -3.81718269808567, 333.3680173878506
2.0134169538241773, -2.94207812078993, 193.44897782972498
-0.043107127067943285, -3.9181959535988944, 312.817964641686
1.999798767409961, -3.0085941642925516, 178.61894834860294
0.040215591972995623, -3.8852395983732393, 280.046680568725
1.9978344468548996, -2.980068157978293, 182.22262253758782
0.010616850247982201, -3.8911422654667134, 290.67229111748804
1.9995378756810696, -2.9853461808938793, 181.98713875293782
0.014962297780870104, -3.8915200923592153, 289.29054102558945
1.9992949762734027, -2.985451936577165, 181.89083937994107
