w1, w2, l
0, 0, 313.6308437591122
0.5533319206571684, -3.0021489065932725, 133.63072502500222
0.9384940120409804, -3.660241607977617, 118.33835260384431
1.1528271566260797, -4.064414526962758, 112.46671459804271
1.2970440423324043, -4.3469542897920155, 109.557240682111
1.4022186801257241, -4.557051315110412, 107.9328050355027
1.4823824061192452, -4.719081579519642, 106.96001642544657
1.545201504544065, -4.847069532558397, 106.35005513434345
1.5953702033763926, -4.949877745842706, 105.95505227833341
1.635987301012808, -5.03348094745796, 105.69312237891451
1.6692097270980935, -5.102101265058552, 105.51628859875999
1.6965987818558352, -5.158830425205081, 105.39523058921014
1.7193189850236317, -5.205995769442174, 105.31143918088807
1.7382595660939748, -5.245387909571692, 105.25292882504613
1.7541124181961212, -5.278408865614276, 105.2117791725698
1.7674241500153758, -5.30617213090367, 105.18266976941091
1.7786320119248937, -5.329572422524621, 105.16197854516109
1.7880893954045909, -5.349335619706812, 105.14721242896968
1.796084370371864, -5.366055349886283, 105.13663978357792
1.8028534430049754, -5.380220331896019, 105.1290487321061
1.8085919518434566, -5.39223516866142, 105.1235857854988
1.8134620481686092, -5.402436399704439, 105.11964667327419
1.817598907020309, -5.411105059105963, 105.11680166857288
1.8211156199335081, -5.418476614004157, 105.11474402638005
1.8241070902784862, -5.42474891002201, 105.1132540956263
1.8266531634743448, -5.430088579732946, 105.11217417029104
1.8288211628983153, -5.4346362515140605, 105.11139076371097
1.8306679589718626, -5.438510811906207, 105.11082205321284
1.8322416678490066, -5.441812913923941, 105.11040894948948
1.833583053552807, -5.444627879414051, 105.11010872142465
1.8347266907640387, -5.447028110713413, 105.10989043119639
1.8357019330428173, -5.449075102215954, 105.10973165706872
1.836533721878107, -5.450821123754101, 105.10961613538896
1.8372432647886656, -5.4523106333435996, 105.1095320607348
1.8378486051613443, -5.453581465706174, 105.10947085852577
1.8383651021939715, -5.454665834264919, 105.10942629754918
1.8388058359106934, -5.455591177416842, 105.10939384750608
1.8391819495188213, -5.456380874396252, 105.10937021345926
1.8395029392164841, -5.457054851633595, 105.10935299818362
1.8397768998193407, -5.457630096948781, 105.10934045709742
1.8400107331617348, -5.458121096016009, 105.10933132027992
1.8402103250741104, -5.458540203161544, 105.10932466313947
1.8403806957915243, -5.458897956600982, 105.10931981239267
1.8405261278668492, -5.459203346606351, 105.10931627768508
1.8406502750149523, -5.459464043751676, 105.10931370184502
1.8407562547756586, -5.459686593267635, 105.10931182468327
1.8408467274338904, -5.459876580601407, 105.1093104566408
1.840923963259084, -5.460038772494307, 105.10930945960675
1.8409898998101328, -5.460177237231388, 105.10930873294642
1.8410461907863505, -5.460295447162662, 105.10930820332922
1.8410942476808834, -5.460396366127588, 105.10930781731729
1.8411352753037828, -5.4604825240190165, 105.10930753596791
1.8411703020818797, -5.460556080387973, 105.10930733090017
1.8412002059070454, -5.460618878706992, 105.10930718143042
1.8412257361894715, -5.4606724926690084, 105.10930707248394
1.8412475326750424, -5.460718265694497, 105.1093069930734
1.841266141502995, -5.46075734464584, 105.10930693519134
1.841282028909607, -5.460790708600274, 105.10930689300086
1.8412955929237345, -5.460819193407083, 105.10930686224809
1.8413071733490074, -5.460843512647782, 105.10930683983197
1.8413170602840743, -5.460864275526898, 105.10930682349263
1.8413255013952905, -5.460882002143415, 105.10930681158263
1.8413327081247293, -5.460897136526748, 105.10930680290122
1.8413388609895276, -5.460910057764794, 105.10930679657321
1.8413441141056819, -5.460921089503503, 105.10930679196058
1.8413485990498712, -5.460930508056448, 105.10930678859836
1.8413524281562352, -5.460938549327881, 105.10930678614749
1.8413556973308236, -5.460945414722976, 105.10930678436105
1.8413584884543168, -5.460951276193476, 105.10930678305891
1.8413608714332699, -5.460956280545271, 105.10930678210974
1.841362905951313, -5.46096055311591, 105.1093067814178
1.8413646429642092, -5.460964200914217, 105.10930678091357
