x1, x2, type
0.44199143871545443, -0.7497384404017129, 1
-0.8114898453461847, 0.6649270921314439, 0
-0.02127853240906008, -0.40661237806301753, 1
0.8528813170541474, 0.4290008413077431, 1
-0.7221637304465978, 0.672947405461068, 0
0.4289155289757356, 0.3635818331656957, 1
0.31861455903368996, -0.806271614962043, 1
-0.5205991036739246, -0.6869542635909855, 1
0.3544224834179124, 0.6260493854936069, 0
0.4888566034258186, -0.1289353980760124, 1
-0.24036059524780162, -0.46628284465629766, 1
0.9040481125594917, 0.850875898795677, 0
0.6100834405963056, 0.10176993529602507, 1
-0.20476266880796046, 0.944959585549471, 0
-0.9017006838050818, 0.5933652568702956, 0
0.9798639791234711, -0.5927120142560136, 1
-0.7944540887787122, -0.20205311872325682, 1
0.7805769913559766, 0.44708110856468997, 1
-0.37642841729698695, 0.05860989681341655, 1
0.873107659781236, -0.15957132964247434, 1
-0.8999904775889194, 0.2316126733796673, 0
-0.21363748354887613, 0.5269687826188316, 0
-0.6070892339854639, 0.15178030025656342, 0
0.5505475192598341, -0.5505299744302725, 1
-0.4616209765700361, -0.09504293570983346, 1
0.4881416695675016, 0.9142124980787769, 0
-0.8490122898720271, 0.5649986997715777, 0
-0.12457371179927645, 0.18211222642476832, 1
-0.3965292829688649, -0.08061330802216471, 1
-0.39758057000500147, 0.35946588265909263, 0
0.2836249585142201, -0.262816907596245, 1
-0.4758304491148444, -0.6304995537743605, 1
0.8820931571875621, 0.522665385032894, 1
-0.5258009766042657, -0.20209101989555767, 1
-0.18717857481801348, 0.4311686820621159, 0
-0.6687245814383054, 0.6375694022138545, 0
0.6395760741020751, -0.6624589313447697, 1
0.14711381667175472, -0.3966383737335175, 1
-0.028583400243714197, -0.8983024518610825, 1
-0.3852666782636751, 0.016264381886291535, 1
0.562306589762209, 0.1569600907033788, 1
0.9671400200801299, -0.9356267373692397, 1
0.5852512838814072, 0.63765675341848, 0
0.7956062642745259, -0.25331111074324864, 1
0.4959735906107905, -0.994412626284771, 1
0.32403905130018296, -0.8697755856438383, 1
0.5050100784635867, -0.8590489641743015, 1
-0.5600820655717609, 0.4153194700942695, 0
0.0344998574037243, 0.08276004486223654, 1
-0.09563017891052872, 0.9022335018852428, 0
0.6808481644164777, -0.8719017435359449, 1
-0.9771578334367306, -0.7514537685802851, 1
-0.5070124865641727, -0.8834641009790201, 1
0.9071422403941372, 0.4999180056656456, 1
-0.4401445593259141, -0.6539884260854565, 1
-0.10775143755038985, -0.3449693467450994, 1
